| MAX_NODE | MOVE: 3, 5 | HV: 0
	| MIN_NODE | MOVE: 4, 5 | HV: 0
		| MAX_NODE | MOVE: 5, 6 | HV: 0
			| MIN_NODE | MOVE: 4, 6 | HV: 0
			| MIN_NODE | MOVE: 2, 6 | HV: 0
			| MIN_NODE | MOVE: 2, 5 | HV: 0
			| MIN_NODE | MOVE: 2, 4 | HV: 0
			| MIN_NODE | MOVE: 2, 3 | HV: 0
			| MIN_NODE | MOVE: 2, 2 | HV: 0
		| MAX_NODE | MOVE: 5, 5 | HV: 0
			| MIN_NODE | MOVE: 4, 6 | HV: 0
			| MIN_NODE | MOVE: 2, 5 | HV: -62
			| MIN_NODE | MOVE: 2, 3 | HV: -62
		| MAX_NODE | MOVE: 5, 4 | HV: 62
			| MIN_NODE | MOVE: 6, 5 | HV: 0
			| MIN_NODE | MOVE: 6, 3 | HV: 0
			| MIN_NODE | MOVE: 2, 5 | HV: 62
			| MIN_NODE | MOVE: 2, 3 | HV: 62
		| MAX_NODE | MOVE: 5, 3 | HV: 0
			| MIN_NODE | MOVE: 4, 2 | HV: 0
			| MIN_NODE | MOVE: 2, 5 | HV: -62
			| MIN_NODE | MOVE: 2, 3 | HV: -62
		| MAX_NODE | MOVE: 5, 2 | HV: 0
			| MIN_NODE | MOVE: 4, 2 | HV: 0
			| MIN_NODE | MOVE: 2, 6 | HV: 0
			| MIN_NODE | MOVE: 2, 5 | HV: 0
			| MIN_NODE | MOVE: 2, 4 | HV: 0
			| MIN_NODE | MOVE: 2, 3 | HV: 0
			| MIN_NODE | MOVE: 2, 2 | HV: 0
	| MIN_NODE | MOVE: 2, 5 | HV: 0
		| MAX_NODE | MOVE: 5, 3 | HV: 0
			| MIN_NODE | MOVE: 5, 4 | HV: 0
			| MIN_NODE | MOVE: 5, 2 | HV: 0
			| MIN_NODE | MOVE: 4, 5 | HV: 0
			| MIN_NODE | MOVE: 3, 6 | HV: 0
			| MIN_NODE | MOVE: 3, 2 | HV: 0
		| MAX_NODE | MOVE: 4, 2 | HV: 0
			| MIN_NODE | MOVE: 5, 4 | HV: 0
			| MIN_NODE | MOVE: 5, 2 | HV: 0
			| MIN_NODE | MOVE: 4, 5 | HV: 0
			| MIN_NODE | MOVE: 3, 6 | HV: 0
			| MIN_NODE | MOVE: 3, 2 | HV: 0
		| MAX_NODE | MOVE: 2, 4 | HV: 62
			| MIN_NODE | MOVE: 4, 5 | HV: 62
			| MIN_NODE | MOVE: 2, 3 | HV: 62
		| MAX_NODE | MOVE: 1, 5 | HV: 0
			| MIN_NODE | MOVE: 5, 4 | HV: 0
			| MIN_NODE | MOVE: 4, 5 | HV: 0
			| MIN_NODE | MOVE: 3, 6 | HV: 0
			| MIN_NODE | MOVE: 3, 2 | HV: 0
			| MIN_NODE | MOVE: 2, 3 | HV: 0
			| MIN_NODE | MOVE: 1, 6 | HV: 0
	| MIN_NODE | MOVE: 2, 3 | HV: 62
		| MAX_NODE | MOVE: 5, 2 | HV: 62
			| MIN_NODE | MOVE: 5, 5 | HV: 0
			| MIN_NODE | MOVE: 5, 3 | HV: 0
			| MIN_NODE | MOVE: 4, 5 | HV: 0
			| MIN_NODE | MOVE: 3, 6 | HV: 62
		| MAX_NODE | MOVE: 4, 2 | HV: 62
			| MIN_NODE | MOVE: 5, 5 | HV: 0
			| MIN_NODE | MOVE: 5, 3 | HV: 0
			| MIN_NODE | MOVE: 5, 1 | HV: 0
			| MIN_NODE | MOVE: 4, 5 | HV: 0
			| MIN_NODE | MOVE: 3, 6 | HV: 62
		| MAX_NODE | MOVE: 3, 2 | HV: 62
			| MIN_NODE | MOVE: 4, 5 | HV: 62
			| MIN_NODE | MOVE: 4, 1 | HV: 0
			| MIN_NODE | MOVE: 2, 5 | HV: 0
			| MIN_NODE | MOVE: 2, 1 | HV: 0
		| MAX_NODE | MOVE: 2, 2 | HV: 62
			| MIN_NODE | MOVE: 4, 5 | HV: 62
			| MIN_NODE | MOVE: 2, 5 | HV: 0
			| MIN_NODE | MOVE: 2, 1 | HV: 0
		| MAX_NODE | MOVE: 1, 2 | HV: 62
			| MIN_NODE | MOVE: 5, 5 | HV: 0
			| MIN_NODE | MOVE: 4, 5 | HV: 0
			| MIN_NODE | MOVE: 3, 6 | HV: 62
			| MIN_NODE | MOVE: 2, 5 | HV: 0
			| MIN_NODE | MOVE: 1, 3 | HV: 0
